Date,Price,Open,High,Low,Vol.,Change %
6/1/2022,"1,807.30","1,837.10","1,879.50","1,802.50",2.75M,-2.05%
5/1/2022,"1,845.20","1,896.20","1,910.70","1,785.00",3.05M,-2.44%
4/1/2022,"1,891.30","1,924.50","2,000.00","1,870.90",2.36M,-3.06%
3/1/2022,"1,951.10","1,908.40","2,078.80","1,888.30",3.93M,2.65%
2/1/2022,"1,900.70","1,900.30","1,975.00","1,880.00",876.83K,5.81%
1/1/2022,"1,796.40","1,830.10","1,854.20","1,780.60",4.33M,-1.76%
12/1/2021,"1,828.60","1,777.40","1,831.40","1,753.00",2.88M,2.93%
11/1/2021,"1,776.50","1,785.30","1,879.50","1,758.50",4.73M,-0.41%
10/1/2021,"1,783.90","1,757.20","1,815.50","1,745.40",3.92M,1.53%
9/1/2021,"1,757.00","1,816.70","1,836.90","1,721.10",3.65M,-3.36%
8/1/2021,"1,818.10","1,817.00","1,835.90","1,677.90",3.66M,0.05%
7/1/2021,"1,817.20","1,770.80","1,837.50","1,765.90",4.37M,2.57%
6/1/2021,"1,771.60","1,906.80","1,919.20","1,750.10",4.62M,-7.02%
5/1/2021,"1,905.30","1,768.10","1,913.30","1,765.60",4.94M,7.78%
4/1/2021,"1,767.70","1,709.00","1,798.40","1,706.40",3.43M,3.04%
3/1/2021,"1,715.60","1,732.80","1,757.40","1,673.30",5.08M,-0.76%
2/1/2021,"1,728.80","1,865.00","1,876.00","1,714.90",4.33M,-6.57%
1/1/2021,"1,850.30","1,908.20","1,962.50","1,800.80",4.89M,-2.36%
12/1/2020,"1,895.10","1,780.30","1,912.00","1,778.40",3.82M,6.41%
11/1/2020,"1,780.90","1,877.00","1,966.10","1,767.20",4.94M,-5.27%
10/1/2020,"1,879.90","1,891.20","1,939.40","1,859.20",4.42M,-0.82%
9/1/2020,"1,895.50","1,973.70","2,001.20","1,851.00",5.92M,-4.20%
8/1/2020,"1,978.60","1,997.40","2,089.20","1,874.20",7.18M,-0.37%
7/1/2020,"1,985.90","1,798.90","2,005.40","1,766.30",5.81M,10.30%
6/1/2020,"1,800.50","1,749.80","1,804.00","1,671.70",4.15M,2.79%
5/1/2020,"1,751.70","1,693.50","1,775.80","1,676.00",4.06M,3.39%
4/1/2020,"1,694.20","1,589.40","1,788.80","1,576.00",3.96M,6.11%
3/1/2020,"1,596.60","1,592.80","1,704.30","1,450.90",8.47M,1.91%
2/1/2020,"1,566.70","1,597.80","1,691.70","1,551.10",7.43M,0.92%
1/1/2020,"1,552.40","1,531.70","1,556.60","1,530.40",436.74K,1.92%
12/1/2019,"1,523.10","1,468.00","1,529.00","1,463.30",3.85M,3.42%
11/1/2019,"1,472.70","1,511.60","1,511.90","1,446.20",5.62M,-2.56%
10/1/2019,"1,511.40","1,485.40","1,525.80","1,478.00",6.48M,1.50%
9/1/2019,"1,489.00","1,556.00","1,566.20","1,465.00",6.59M,-2.64%
8/1/2019,"1,529.40","1,457.50","1,559.80","1,442.50",6.85M,6.77%
7/1/2019,"1,432.40","1,386.20","1,458.20","1,386.20",7.27M,1.32%
6/1/2019,"1,413.70","1,329.70","1,442.90","1,323.60",5.82M,7.83%
5/1/2019,"1,311.10","1,278.50","1,311.90","1,267.30",4.45M,2.09%
4/1/2019,"1,284.20","1,292.20","1,314.70","1,267.90",4.15M,-1.10%
3/1/2019,"1,298.50","1,287.80","1,323.00","1,280.80",4.20M,-0.05%
2/1/2019,"1,299.20","1,316.80","1,349.80","1,291.30",3.11M,-1.73%
1/1/2019,"1,322.10","1,288.50","1,331.10","1,275.30",3.98M,3.05%
12/1/2018,"1,283.00","1,236.30","1,284.70","1,235.80",2.86M,4.65%
11/1/2018,"1,226.00","1,235.30","1,238.40","1,196.60",3.99M,-1.02%
10/1/2018,"1,238.60","1,192.70","1,246.00","1,186.60",5.28M,3.54%
9/1/2018,"1,196.20","1,197.20","1,218.00","1,184.30",4.18M,-0.87%
8/1/2018,"1,206.70","1,224.70","1,230.00","1,167.10",4.83M,-1.70%
7/1/2018,"1,227.60","1,242.90","1,261.00","1,210.70",4.95M,-2.14%
6/1/2018,"1,254.50","1,296.40","1,313.00","1,246.90",4.34M,-3.45%
5/1/2018,"1,299.30","1,304.40","1,326.30","1,284.00",6.19M,-0.57%
4/1/2018,"1,306.80","1,345.00","1,369.40","1,302.30",5.32M,-1.54%
3/1/2018,"1,327.30","1,318.00","1,356.80","1,306.60",5.09M,1.69%
2/1/2018,"1,305.20","1,352.20","1,364.40","1,303.60",4.73M,-3.17%
1/1/2018,"1,347.90","1,319.00","1,365.40","1,307.10",6.22M,2.95%
12/1/2017,"1,309.30","1,279.10","1,309.80","1,238.30",3.73M,2.11%
11/1/2017,"1,282.30","1,275.20","1,300.40","1,265.90",6.18M,0.39%
10/1/2017,"1,277.30","1,273.10","1,306.40","1,262.80",5.52M,-0.58%
9/1/2017,"1,284.80","1,345.00","1,362.40","1,278.20",4.94M,-3.43%
8/1/2017,"1,330.40","1,275.20","1,334.50","1,257.10",5.77M,3.99%
7/1/2017,"1,279.40","1,220.10","1,280.30","1,206.60",3.99M,2.99%
6/1/2017,"1,242.30","1,268.00","1,298.80","1,239.00",3.77M,-2.19%
5/1/2017,"1,270.10","1,257.40","1,276.80","1,214.30",4.47M,0.14%
4/1/2017,"1,268.30","1,277.20","1,294.40","1,260.70",2.38M,1.37%
3/1/2017,"1,251.20","1,248.50","1,261.00","1,194.50",5.08M,-0.22%
2/1/2017,"1,253.90","1,212.20","1,264.90","1,199.70",4.17M,3.51%
1/1/2017,"1,211.40","1,151.40","1,220.10","1,146.50",4.85M,5.18%
